dt,AAPL,MSFT,TSLA,MCD,BK
2017-10-02 13:31:00+00:00,154.34,74.88,342.33,156.38,52.736
2017-10-02 13:32:00+00:00,154.07,74.832,341.48,156.66,52.686
2017-10-02 13:33:00+00:00,153.72,74.835,341.83,156.324,52.756
2017-10-02 13:34:00+00:00,153.69,74.89,341.24,156.66,52.726
2017-10-02 13:35:00+00:00,153.45,74.81,341.873,156.67,52.706
2017-10-02 13:36:00+00:00,153.86,74.905,341.782,156.52,52.656
2017-10-02 13:37:00+00:00,153.88,74.92,341.575,156.49,52.676
2017-10-02 13:38:00+00:00,153.72,74.89,340.25,156.44,52.696
2017-10-02 13:39:00+00:00,153.76,74.875,340.73,156.47,52.696
2017-10-02 13:40:00+00:00,153.94,74.87,340.5,156.53,52.696
2017-10-02 13:41:00+00:00,153.73,74.845,339.85,156.49,52.676
2017-10-02 13:42:00+00:00,153.8,74.87,339.0,156.43,52.676
2017-10-02 13:43:00+00:00,153.65,74.86,339.01,156.34,52.656
2017-10-02 13:44:00+00:00,153.8,74.925,338.882,156.38,52.706
2017-10-02 13:45:00+00:00,153.78,74.915,339.17,156.22,52.736
2017-10-02 13:46:00+00:00,153.61,74.88,337.985,156.37,52.736
2017-10-02 13:47:00+00:00,153.79,74.86,337.51,156.23,52.746
2017-10-02 13:48:00+00:00,153.681,74.85,337.4,156.31,52.796
2017-10-02 13:49:00+00:00,153.637,74.83,337.78,156.43,52.856
2017-10-02 13:50:00+00:00,153.57,74.855,337.729,156.56,52.865
2017-10-02 13:51:00+00:00,153.647,74.78,337.0,156.53,52.905
2017-10-02 13:52:00+00:00,153.61,74.702,336.08,156.45,52.885
2017-10-02 13:53:00+00:00,153.68,74.72,336.86,156.39,52.945
2017-10-02 13:54:00+00:00,153.64,74.73,336.892,156.38,52.935
2017-10-02 13:55:00+00:00,153.66,74.72,336.471,156.29,52.945
2017-10-02 13:56:00+00:00,153.812,74.72,336.192,156.21,52.88
2017-10-02 13:57:00+00:00,153.68,74.72,335.918,156.2,52.895
2017-10-02 13:58:00+00:00,153.76,74.725,336.27,156.19,52.895
2017-10-02 13:59:00+00:00,153.827,74.81,336.732,156.18,52.895
2017-10-02 14:00:00+00:00,153.93,74.88,336.74,156.24,52.856
2017-10-02 14:01:00+00:00,153.84,74.75,336.085,156.164,52.965
2017-10-02 14:02:00+00:00,153.89,74.76,336.918,156.05,52.994
2017-10-02 14:03:00+00:00,153.801,74.71,336.632,156.05,52.975
2017-10-02 14:04:00+00:00,153.81,74.72,336.14,156.07,52.995
2017-10-02 14:05:00+00:00,153.8,74.765,336.28,156.11,52.975
2017-10-02 14:06:00+00:00,153.83,74.795,336.45,156.1,52.955
2017-10-02 14:07:00+00:00,153.83,74.785,336.59,156.16,52.935
2017-10-02 14:08:00+00:00,153.84,74.815,337.12,156.26,52.951
2017-10-02 14:09:00+00:00,153.77,74.82,337.0,156.32,52.935
2017-10-02 14:10:00+00:00,153.66,74.814,337.17,156.35,52.935
2017-10-02 14:11:00+00:00,153.65,74.825,337.24,156.29,52.935
2017-10-02 14:12:00+00:00,153.57,74.845,336.69,156.2,52.919
2017-10-02 14:13:00+00:00,153.57,74.847,336.55,156.23,52.93
2017-10-02 14:14:00+00:00,153.55,74.875,336.9,156.26,52.935
2017-10-02 14:15:00+00:00,153.54,74.895,336.935,156.51,52.93
2017-10-02 14:16:00+00:00,153.64,74.947,337.34,156.49,52.944
2017-10-02 14:17:00+00:00,153.71,74.99,337.4,156.5,52.965
2017-10-02 14:18:00+00:00,153.665,74.985,337.14,156.39,52.935
2017-10-02 14:19:00+00:00,153.68,74.95,336.85,156.44,52.965
2017-10-02 14:20:00+00:00,153.645,74.98,336.62,156.4,53.015
2017-10-02 14:21:00+00:00,153.57,74.955,336.958,156.42,53.055
2017-10-02 14:22:00+00:00,153.53,74.95,336.7,156.43,53.065
2017-10-02 14:23:00+00:00,153.6,74.995,337.06,156.33,53.065
2017-10-02 14:24:00+00:00,153.57,74.96,337.4,156.39,53.045
2017-10-02 14:25:00+00:00,153.61,75.0,338.123,156.45,53.025
2017-10-02 14:26:00+00:00,153.66,74.945,338.15,156.46,52.995
2017-10-02 14:27:00+00:00,153.601,74.92,338.12,156.41,53.025
2017-10-02 14:28:00+00:00,153.59,74.92,338.58,156.38,52.935
2017-10-02 14:29:00+00:00,153.62,74.93,338.363,156.44,52.915
2017-10-02 14:30:00+00:00,153.64,74.93,338.25,156.36,52.915
2017-10-02 14:31:00+00:00,153.66,74.92,338.64,156.33,52.875
2017-10-02 14:32:00+00:00,153.708,74.91,338.45,156.206,52.9
2017-10-02 14:33:00+00:00,153.74,74.945,338.4,156.15,52.875
2017-10-02 14:34:00+00:00,153.76,74.965,337.633,156.2,52.865
2017-10-02 14:35:00+00:00,153.67,74.96,337.79,156.17,52.865
2017-10-02 14:36:00+00:00,153.741,74.96,337.81,156.131,52.895
2017-10-02 14:37:00+00:00,153.73,74.96,337.76,156.21,52.905
2017-10-02 14:38:00+00:00,153.81,74.965,337.948,156.27,52.846
2017-10-02 14:39:00+00:00,153.74,74.96,338.128,156.27,52.865
2017-10-02 14:40:00+00:00,153.785,74.911,338.14,156.38,52.915
2017-10-02 14:41:00+00:00,153.73,74.895,338.396,156.56,52.875
2017-10-02 14:42:00+00:00,153.69,74.85,338.39,156.52,52.856
2017-10-02 14:43:00+00:00,153.6,74.865,338.6,156.55,52.875
2017-10-02 14:44:00+00:00,153.71,74.9,338.72,156.59,52.856
2017-10-02 14:45:00+00:00,153.71,74.914,338.623,156.6,52.865
2017-10-02 14:46:00+00:00,153.83,74.958,338.633,156.69,52.826
2017-10-02 14:47:00+00:00,153.81,74.97,338.713,156.7,52.836
2017-10-02 14:48:00+00:00,153.813,74.985,339.1,156.601,52.836
2017-10-02 14:49:00+00:00,153.81,74.97,339.016,156.65,52.846
2017-10-02 14:50:00+00:00,153.81,74.97,339.136,156.759,52.826
2017-10-02 14:51:00+00:00,153.75,74.95,338.98,156.68,52.826
2017-10-02 14:52:00+00:00,153.75,74.94,338.607,156.65,52.826
2017-10-02 14:53:00+00:00,153.73,74.935,338.236,156.6,52.846
2017-10-02 14:54:00+00:00,153.69,74.925,338.1,156.61,52.836
2017-10-02 14:55:00+00:00,153.765,74.925,338.49,156.61,52.836
2017-10-02 14:56:00+00:00,153.76,74.95,338.44,156.65,52.846
2017-10-02 14:57:00+00:00,153.795,74.934,338.5,156.64,52.865
2017-10-02 14:58:00+00:00,153.78,74.93,338.77,156.7,52.865
2017-10-02 14:59:00+00:00,153.77,74.895,338.625,156.645,52.865
2017-10-02 15:00:00+00:00,153.769,74.89,338.88,156.5,52.885
2017-10-02 15:01:00+00:00,153.81,74.885,338.785,156.51,52.925
2017-10-02 15:02:00+00:00,153.759,74.865,338.74,156.5,52.93
2017-10-02 15:03:00+00:00,153.733,74.84,338.23,156.45,52.931
2017-10-02 15:04:00+00:00,153.775,74.82,338.4,156.461,52.965
2017-10-02 15:05:00+00:00,153.82,74.85,338.684,156.43,52.952
2017-10-02 15:06:00+00:00,153.83,74.903,339.07,156.45,52.96
2017-10-02 15:07:00+00:00,153.83,74.91,339.132,156.54,52.955
2017-10-02 15:08:00+00:00,153.84,74.905,339.03,156.626,52.935
2017-10-02 15:09:00+00:00,153.82,74.905,338.755,156.553,52.94
2017-10-02 15:10:00+00:00,153.73,74.9,338.814,156.62,52.935
2017-10-02 15:11:00+00:00,153.75,74.91,339.004,156.61,52.945
2017-10-02 15:12:00+00:00,153.8,74.92,339.116,156.63,52.935
2017-10-02 15:13:00+00:00,153.86,74.94,339.705,156.62,52.965
2017-10-02 15:14:00+00:00,153.86,74.95,339.519,156.56,52.975
2017-10-02 15:15:00+00:00,153.83,74.94,339.246,156.56,52.99
2017-10-02 15:16:00+00:00,153.839,74.953,339.387,156.53,52.965
2017-10-02 15:17:00+00:00,153.81,74.96,339.39,156.47,52.935
2017-10-02 15:18:00+00:00,153.81,74.95,339.22,156.46,52.935
2017-10-02 15:19:00+00:00,153.81,74.95,339.37,156.52,52.955
2017-10-02 15:20:00+00:00,153.762,74.93,339.073,156.52,52.965
2017-10-02 15:21:00+00:00,153.75,74.891,339.252,156.52,52.955
2017-10-02 15:22:00+00:00,153.72,74.91,339.34,156.49,52.955
2017-10-02 15:23:00+00:00,153.63,74.87,339.1,156.47,52.945
2017-10-02 15:24:00+00:00,153.635,74.83,339.357,156.497,52.945
2017-10-02 15:25:00+00:00,153.714,74.86,339.248,156.64,52.946
2017-10-02 15:26:00+00:00,153.66,74.82,339.125,156.63,52.945
2017-10-02 15:27:00+00:00,153.7,74.81,339.3,156.64,52.945
2017-10-02 15:28:00+00:00,153.71,74.82,339.739,156.76,52.94
2017-10-02 15:29:00+00:00,153.68,74.817,340.04,156.76,52.935
2017-10-02 15:30:00+00:00,153.78,74.82,339.623,156.88,52.955
2017-10-02 15:31:00+00:00,153.745,74.76,339.8,156.75,52.958
2017-10-02 15:32:00+00:00,153.76,74.76,339.83,156.78,52.985
2017-10-02 15:33:00+00:00,153.76,74.8,339.344,156.76,53.005
2017-10-02 15:34:00+00:00,153.742,74.8,339.636,156.83,52.995
2017-10-02 15:35:00+00:00,153.77,74.78,339.1,156.87,53.035
2017-10-02 15:36:00+00:00,153.72,74.735,339.215,156.825,53.045
2017-10-02 15:37:00+00:00,153.735,74.72,338.82,156.84,53.04
2017-10-02 15:38:00+00:00,153.73,74.73,338.94,156.82,53.055
2017-10-02 15:39:00+00:00,153.7,74.735,339.2,156.732,53.055
2017-10-02 15:40:00+00:00,153.74,74.75,339.32,156.72,53.055
2017-10-02 15:41:00+00:00,153.76,74.725,339.6,156.75,53.045
2017-10-02 15:42:00+00:00,153.67,74.71,338.93,156.825,53.099
2017-10-02 15:43:00+00:00,153.62,74.735,339.21,156.82,53.094
2017-10-02 15:44:00+00:00,153.575,74.71,338.893,156.894,53.094
2017-10-02 15:45:00+00:00,153.341,74.65,338.37,156.8,53.154
2017-10-02 15:46:00+00:00,153.33,74.625,338.16,156.78,53.134
2017-10-02 15:47:00+00:00,153.28,74.58,337.919,156.66,53.144
