dt,AAPL,MSFT,TSLA,MCD,BK
2017-10-02 13:31:00+00:00,420042.0,409211.0,49907.0,85774.0,30276.0
2017-10-02 13:32:00+00:00,161960.0,49207.0,18480.0,6866.0,4511.0
2017-10-02 13:33:00+00:00,118283.0,24043.0,47039.0,3000.0,3001.0
2017-10-02 13:34:00+00:00,103544.0,62383.0,13444.0,4364.0,900.0
2017-10-02 13:35:00+00:00,88012.0,40175.0,36556.0,820.0,1500.0
2017-10-02 13:36:00+00:00,131772.0,74413.0,24978.0,3580.0,7348.0
2017-10-02 13:37:00+00:00,69780.0,57872.0,32166.0,3656.0,2900.0
2017-10-02 13:38:00+00:00,63419.0,52240.0,36091.0,3496.0,5200.0
2017-10-02 13:39:00+00:00,46089.0,22801.0,28267.0,2179.0,400.0
2017-10-02 13:40:00+00:00,49655.0,29631.0,13338.0,3919.0,2000.0
2017-10-02 13:41:00+00:00,90852.0,33088.0,31669.0,2645.0,2697.0
2017-10-02 13:42:00+00:00,41882.0,31694.0,36613.0,6232.0,3897.0
2017-10-02 13:43:00+00:00,45673.0,29770.0,44420.0,1500.0,13087.0
2017-10-02 13:44:00+00:00,72501.0,33540.0,23563.0,5983.0,2362.0
2017-10-02 13:45:00+00:00,25951.0,37569.0,23737.0,2680.0,2338.0
2017-10-02 13:46:00+00:00,87974.0,37774.0,64838.0,5457.0,9297.0
2017-10-02 13:47:00+00:00,50680.0,38328.0,41635.0,2141.0,1408.0
2017-10-02 13:48:00+00:00,34224.0,17045.0,35522.0,2550.0,1790.0
2017-10-02 13:49:00+00:00,60211.0,56198.0,29555.0,5302.0,2400.0
2017-10-02 13:50:00+00:00,47498.0,30679.0,19874.0,4644.0,5388.0
2017-10-02 13:51:00+00:00,47688.0,60212.0,15907.0,3760.0,6988.0
2017-10-02 13:52:00+00:00,61311.0,80380.0,44415.0,4350.0,3180.0
2017-10-02 13:53:00+00:00,43435.0,33136.0,45102.0,2708.0,6672.0
2017-10-02 13:54:00+00:00,51054.0,27998.0,14897.0,2735.0,4580.0
2017-10-02 13:55:00+00:00,50784.0,38801.0,9677.0,6271.0,2923.0
2017-10-02 13:56:00+00:00,97036.0,39435.0,31888.0,1984.0,10929.0
2017-10-02 13:57:00+00:00,57929.0,37411.0,22771.0,5050.0,2589.0
2017-10-02 13:58:00+00:00,36475.0,27847.0,18809.0,13298.0,1000.0
2017-10-02 13:59:00+00:00,23073.0,57085.0,26852.0,3000.0,500.0
2017-10-02 14:00:00+00:00,69575.0,63749.0,15519.0,7200.0,10150.0
2017-10-02 14:01:00+00:00,67723.0,40129.0,23926.0,7470.0,6211.0
2017-10-02 14:02:00+00:00,52241.0,12344.0,18675.0,6310.0,2943.0
2017-10-02 14:03:00+00:00,48427.0,29229.0,16948.0,3412.0,5437.0
2017-10-02 14:04:00+00:00,55233.0,17978.0,29162.0,4214.0,3306.0
2017-10-02 14:05:00+00:00,29900.0,16043.0,11154.0,2858.0,3373.0
2017-10-02 14:06:00+00:00,27989.0,32128.0,8636.0,8105.0,602.0
2017-10-02 14:07:00+00:00,30468.0,45687.0,5629.0,2416.0,1781.0
2017-10-02 14:08:00+00:00,67601.0,57727.0,37169.0,2300.0,10260.0
2017-10-02 14:09:00+00:00,34100.0,105605.0,19167.0,3682.0,5000.0
2017-10-02 14:10:00+00:00,131707.0,30710.0,16914.0,5834.0,3480.0
2017-10-02 14:11:00+00:00,26995.0,30127.0,18234.0,4556.0,2300.0
2017-10-02 14:12:00+00:00,36433.0,50934.0,11785.0,3017.0,4850.0
2017-10-02 14:13:00+00:00,65752.0,25741.0,13704.0,3806.0,6000.0
2017-10-02 14:14:00+00:00,37075.0,22580.0,9537.0,1491.0,6849.0
2017-10-02 14:15:00+00:00,59190.0,76120.0,4232.0,2957.0,4637.0
2017-10-02 14:16:00+00:00,72702.0,37119.0,7792.0,4700.0,4197.0
2017-10-02 14:17:00+00:00,72411.0,50294.0,14149.0,2770.0,7539.0
2017-10-02 14:18:00+00:00,48899.0,42147.0,8221.0,6602.0,1700.0
2017-10-02 14:19:00+00:00,53344.0,261619.0,8660.0,2525.0,10200.0
2017-10-02 14:20:00+00:00,35122.0,57056.0,9783.0,3355.0,45768.0
2017-10-02 14:21:00+00:00,26511.0,54660.0,9760.0,7819.0,4529.0
2017-10-02 14:22:00+00:00,86806.0,17057.0,27467.0,2830.0,5853.0
2017-10-02 14:23:00+00:00,60871.0,68122.0,7387.0,3200.0,9108.0
2017-10-02 14:24:00+00:00,16684.0,22626.0,15278.0,2599.0,10793.0
2017-10-02 14:25:00+00:00,49030.0,59456.0,24903.0,6473.0,2784.0
2017-10-02 14:26:00+00:00,47848.0,56792.0,12255.0,9987.0,4774.0
2017-10-02 14:27:00+00:00,28234.0,41333.0,8514.0,6843.0,4699.0
2017-10-02 14:28:00+00:00,53543.0,37515.0,20249.0,1357.0,5472.0
2017-10-02 14:29:00+00:00,27813.0,42316.0,13899.0,3092.0,2457.0
2017-10-02 14:30:00+00:00,18337.0,16116.0,5413.0,3640.0,1876.0
2017-10-02 14:31:00+00:00,65655.0,22677.0,11183.0,2940.0,1725.0
2017-10-02 14:32:00+00:00,24632.0,34847.0,5160.0,2550.0,900.0
2017-10-02 14:33:00+00:00,56670.0,30110.0,1764.0,500.0,2002.0
2017-10-02 14:34:00+00:00,39187.0,28689.0,15256.0,5777.0,4481.0
2017-10-02 14:35:00+00:00,34178.0,9653.0,6522.0,3218.0,1407.0
2017-10-02 14:36:00+00:00,23204.0,35341.0,7078.0,4838.0,3317.0
2017-10-02 14:37:00+00:00,32683.0,56520.0,3900.0,600.0,2100.0
2017-10-02 14:38:00+00:00,50571.0,14091.0,7826.0,4252.0,19620.0
2017-10-02 14:39:00+00:00,52423.0,24930.0,6187.0,0.0,1800.0
2017-10-02 14:40:00+00:00,63864.0,27633.0,5910.0,1350.0,1600.0
2017-10-02 14:41:00+00:00,37142.0,17829.0,5600.0,4703.0,2600.0
2017-10-02 14:42:00+00:00,33473.0,11601.0,4166.0,4803.0,1500.0
2017-10-02 14:43:00+00:00,77380.0,37823.0,12083.0,3175.0,3317.0
2017-10-02 14:44:00+00:00,71493.0,23464.0,6338.0,5019.0,6114.0
